geneNames	transcriptNames	id	fc	pval	qval
.	gene-PA3992	4091	98.8609139533159	0.000303231532765125	0.947188505654787
.	gene-PA4804	4958	0.000356369580216834	0.000666143187755264	0.947188505654787
.	gene-PA2690	2745	0.0578338961286673	0.00141926184772379	0.947188505654787
tpm	gene-PA2832	2896	1786.56951929993	0.00234148344062823	0.947188505654787
.	gene-PA0365	370	3.96465174125026e-07	0.0023906200842948	0.947188505654787
pelF	gene-PA3059	3129	0.00168742487497436	0.00258384572987103	0.947188505654787
.	gene-PA5428	5596	71620.9057916979	0.00266375664113694	0.947188505654787
cysT	gene-PA0282	286	0.00240542433452868	0.00273602706960907	0.947188505654787
.	gene-PA0553	560	0.0124463469031714	0.00313490437014963	0.947188505654787
clpP	gene-PA1801	1845	17.4398122116364	0.00315480301985005	0.947188505654787
.	gene-PA4341	4458	2.67662704773106e-09	0.00384197027094779	0.947188505654787
.	gene-PA3886	3983	6.40432382766855	0.00396906591710144	0.947188505654787
.	gene-PA0364	369	8.0468951713071e-06	0.00424030829145383	0.947188505654787
pscG	gene-PA1720	1757	540294.021710723	0.00433095605799538	0.947188505654787
.	gene-PA2841	2905	14.1744501276317	0.00449274279358414	0.947188505654787
.	gene-PA3762	3858	2636.69144053137	0.00469770305361339	0.947188505654787
.	gene-PA0906	928	46.0040729587033	0.00512693086328042	0.947188505654787
.	gene-PA1570	1605	43.8066138663567	0.0051900949682373	0.947188505654787
.	gene-PA1814	1859	47.6810221783466	0.00536585236108289	0.947188505654787
prpD	gene-PA0792	807	4.76571710106905e-18	0.00560603785108338	0.947188505654787
.	gene-PA1991	2036	8.02213885015107e-05	0.00595245208271189	0.947188505654787
.	gene-PA3411	3496	3.18209810144405e-09	0.00616489406155951	0.947188505654787
pvdJ	gene-PA2400	2454	309.175090963911	0.00629132795937759	0.947188505654787
oxyR	gene-PA5344	5507	11.2779659139582	0.00632714601611828	0.947188505654787
.	gene-PA2381	2430	557669.803142104	0.00641904492082535	0.947188505654787
nrdR	gene-PA4057	4157	6.43205023846053	0.00668102353560629	0.947188505654787
dctA	gene-PA1183	1211	56781823625388.1	0.00687113469728262	0.947188505654787
.	gene-PA5083	5240	0.00132762963348792	0.00692173001113805	0.947188505654787
.	gene-PA0542	549	378538.220322471	0.00708951615818387	0.947188505654787
arsB	gene-PA2278	2325	0.000297179159784838	0.00786468591988332	0.947188505654787
pilO	gene-PA5042	5199	89208.2192647632	0.00804505094077967	0.947188505654787
pilD	gene-PA4528	4650	2452.30224238389	0.00821826901160272	0.947188505654787
.	MSTRG.3383.1	4133	0.00365418308187413	0.0083855692000222	0.947188505654787
ccoP2	gene-PA1555	1591	10902490227.9761	0.00873050678302556	0.947188505654787
.	gene-PA4677	4813	0.0277662919232743	0.00873847347286216	0.947188505654787
aphA	gene-PA1409	1439	0.000227335297602089	0.00922497030018399	0.947188505654787
.	gene-PA0696	708	3.26137090050257	0.00929852162844891	0.947188505654787
.	gene-PA2654	2710	2.61048437889402	0.00938150009980188	0.947188505654787
cupB4	gene-PA4083	4181	0.0069746444204202	0.00967215639757724	0.947188505654787
.	gene-PA4381	4499	4990550791.47062	0.00997282034715963	0.947188505654787
.	gene-PA4095	4193	0.000143755741393046	0.0101326483548733	0.947188505654787
.	gene-PA3089a	3161	311916.816307473	0.0102808253869192	0.947188505654787
cyaA	gene-PA5272	5434	3.23129568827284	0.01029231837672	0.947188505654787
.	gene-PA4187	4287	4.60948719500252e-05	0.011189789285598	0.947188505654787
.	gene-PA4659	4793	0.00276015474262833	0.0113713589874924	0.947188505654787
cobU	gene-PA1279	1308	310.42696432171	0.0120982710572188	0.947188505654787
.	rna-PA4690.2	4831	6.63964029769039e-05	0.0123166591913612	0.947188505654787
soj	gene-PA5563	5730	48.0771269022477	0.0125383142808566	0.947188505654787
.	gene-PA3884	3981	6.25571804711183e-05	0.0126300251908413	0.947188505654787
.	gene-PA1297	1326	387.510664385305	0.0131866849375983	0.947188505654787
pgl	gene-PA3182	3260	3.8161639528444e-05	0.0136922047208221	0.947188505654787
fur	gene-PA4764	4917	56.7056664673253	0.0137864321627925	0.947188505654787
.	gene-PA5460	5629	1558.60673251339	0.0145420955898389	0.947188505654787
.	gene-PA2267	2314	1094.31431238144	0.0150664932597004	0.947188505654787
.	gene-PA5021	5178	180.280005742526	0.0152583571562501	0.947188505654787
.	gene-PA3305	3386	3.33452613274573e-05	0.0154270169854189	0.947188505654787
.	gene-PA0604	612	7.59854166172297e-06	0.0154372436501883	0.947188505654787
.	gene-PA5492	5660	0.0342444246648333	0.0155856190576761	0.947188505654787
.	gene-PA1813	1858	1.757191023644	0.0165421984319893	0.947188505654787
.	gene-PA2986	3054	399.709578977348	0.0166361215937035	0.947188505654787
acpP	gene-PA2966	3033	13.3313643351088	0.0166565957928908	0.947188505654787
.	gene-PA1414	1444	4959810.93794326	0.0174453814286141	0.947188505654787
.	gene-PA4349	4466	6763.83550974922	0.0176357130289668	0.947188505654787
.	gene-PA1190	1218	3.66780260476874e-11	0.0177232142862449	0.947188505654787
.	gene-PA0121	125	5.10595592286953e-05	0.0177342042964335	0.947188505654787
.	gene-PA4019	4118	2.82362969921092	0.0178699609333115	0.947188505654787
.	gene-PA4476	4597	0.0635300584595679	0.0182421340602721	0.947188505654787
.	gene-PA1050	1075	1251433.82925274	0.0182484018740667	0.947188505654787
.	MSTRG.2869.5	3523	32.191173339892	0.0187685273948899	0.947188505654787
oprG	gene-PA4067	4165	676617653615.508	0.0187874453203667	0.947188505654787
.	gene-PA3190	3268	4.83379021765753e-07	0.0193265526481925	0.947188505654787
.	gene-PA2878	2943	0.000258519243628631	0.0194204300525822	0.947188505654787
.	gene-PA2705	2760	0.0249106993619601	0.0198557861488942	0.947188505654787
.	MSTRG.1689.1	2044	1.72700623628726e-06	0.0200289280664268	0.947188505654787
nalD	gene-PA3574	3666	1.19103457739896e-05	0.0200412032059121	0.947188505654787
